,AAA Organization Name,AAA Year Found,AAA EIN,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,netgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,pyprogramservicerevenueamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,pybenefitspaidtomembersamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,pytotalproffndrsngexpnsamt,cytotalproffndrsngexpnsamt,pytotalfundraisingexpenseamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
0,Common Threads,2018,200106847,TEACH LOW INCOME CHILDREN TO COOK WHOLESOME AND AFFORDABLE MEALS.,14,14,32,250,0,SELECT-KEY-WRITE-NULL,2462820,2896588,26202,76952,1148,559,-17158,78520,2473012,3052619,0,0,0,0,1886336,1871971,0,0,SELECT-KEY-WRITE-NULL,396598,1322619,971000,3208955,2842971,-735943,209648,1855681,2067429,126524,128624,1729157,1938805
0,Community Services Foundation,2018,452635513,"TO ENHANCE THE LIVES OF RESIDENTS LIVING IN MANAGED COMMUNITIES BY PROVIDING STRUCTURED SERVICES, ACTIVITIES AND PROGRAMS FOR RESIDENTS IN THE COMMUNITIES.",7,10,11,30,0,SELECT-KEY-WRITE-NULL,1173368,1315300,821266,882576,HEADERFILL-NULL,0,1867,11498,1996501,2209374,136250,143314,HEADERFILL-NULL,0,517552,615975,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,100818,1335490,1346298,1989292,2105587,7209,103787,603605,744614,214420,251642,389185,492972
0,Dance Place (DC Wheel Productions),2018,521118504,"FOUNDED IN 1980, DANCE PLACE BUILDS A COMMUNITY OF ARTISTS, AUDIENCES, AND STUDENTS. THIS IS ACCOMPLISHED THROUGH HIGH QUALITY PERFORMANCES, COMMISSIONS, TRAINING AND EDUCATIONAL PROGRAMS. WE ARE COMMITTED TO ENRICHING THE FIELD OF DANCE LOCALLY, NATIONALLY AND INTERNATIONALLY. OUR THRIVING ARTS CAMPUS SERVES AS AN ANCHOR IN THE DEVELOPMENT OF OUR BROOKLAND/EDGEWOOD NEIGHBORHOOD IN WASHINGTON, DC.",18,17,30,56,3360,SELECT-KEY-WRITE-NULL,1312698,1475448,547122,594067,725,528,-5655,-17738,1854890,2052305,0,0,0,0,818963,852075,0,0,SELECT-KEY-WRITE-NULL,175501,941479,1006944,1760442,1859019,94448,193286,4779191,4888601,610297,526421,4168894,4362180
0,DC Creative Writing Workshop,2018,522221613,"THE DCCWW, BASED IN THE CONGRESS HEIGHTS NEIGHBORHOOD OF SOUTHEAST D.C., UNITES PARENTS, TEACHERS AND PROFESSIONAL WRITERS-IN-RESIDENCE TO TRANSFORM THE LIVES OF YOUTH THROUGH SELF-EXPRESSION AND THE POWER OF THE WRITTEN WORD.",6,6,8,5,3838,SELECT-KEY-WRITE-NULL,158740,149810,150,150,4391,3838,HEADERFILL-NULL,0,163281,153798,HEADERFILL-NULL,0,HEADERFILL-NULL,0,119596,148204,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,0,34710,37508,154306,185712,8975,-31914,161176,131226,2723,5083,158453,126143
0,Edlavitch DCJCC,2018,521398151,PROMOTE WELFARE OF MEMBERS AND COMMUNITY THROUGH PROGRAMS REFLECTING JEWISH HERITAGE AND VALUES.,55,55,274,9200,2000,SELECT-KEY-WRITE-NULL,9621158,8668490,5338903,5653523,143069,276053,127681,101127,15230811,14699193,0,0,0,0,5584249,5845195,30000,0,SELECT-KEY-WRITE-NULL,380585,3994444,3841427,9608693,9686622,5622118,5012571,19477523,24446611,5437449,5287491,14040074,19159120
0,Fishing School,2018,521736536,"To prepare elementary and middle school youth for success in high school and life by improving their academic performance and life skills; and engaging them and their parents in intensive, multi-year, and research-based out-of-school time and parental engagement programs.",13,13,74,45,0,SELECT-KEY-WRITE-NULL,1362818,1230524,HEADERFILL-NULL,120222,34,20,205775,-36835,1568627,1313931,HEADERFILL-NULL,0,HEADERFILL-NULL,0,1032278,1009793,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,163643,528044,314977,1560322,1324770,8305,-10839,2139744,2247387,137731,256213,2002013,1991174
0,FLOC FOR LOVE OF CHILDREN,2018,526064548,"TO TEACH, EMPOWER AND TRANSFORM CHILDREN TO BECOME CONTRIBUTING MEMBERS OF THEIR COMMUNITIES.",18,18,36,375,0,SELECT-KEY-WRITE-NULL,1676048,1668056,54203,73353,20390,23486,0,0,1750641,1764895,56374,67892,0,0,1109307,1125393,0,0,SELECT-KEY-WRITE-NULL,294313,618950,633158,1784631,1826443,-33990,-61548,1593769,1582406,129756,116406,1464013,1466000
0,Friends of Kenilworth Aquatic Gardens,2018,208701197,"FKAG was established to connect people to the park through volunteer service, education and recreation. FKAG encourages public discovery of the park through community events, volunteer activties, and educational programs for youth. FKAG also",9,9,2,250,0,SELECT-KEY-WRITE-NULL,77355,72377,HEADERFILL-NULL,147691,HEADERFILL-NULL,0,486,616,77841,220684,HEADERFILL-NULL,0,HEADERFILL-NULL,0,HEADERFILL-NULL,68054,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,4386,HEADERFILL-NULL,158155,HEADERFILL-NULL,226209,77841,-5525,56940,81057,3821,32671,53119,48386
0,GALA,2018,521064097,TO PRESERVE AND PROMOTE HISPANIC ART AND CULTURE THROUGH THE PRESENTATION OF BILINGUAL THEATRE.,14,14,11,60,4338,SELECT-KEY-WRITE-NULL,962562,1524162,266479,467085,35,49,92294,81559,1321370,2072855,0,0,0,0,356750,361474,0,0,SELECT-KEY-WRITE-NULL,95084,1094511,1356841,1451261,1718315,-129891,354540,3651389,4023759,127715,145545,3523674,3878214
0,Georgia Avenue Rock Creek East Family Support Collaborative,2018,522349433,GAFSC provides services that stabilize and strengthen families and prevent the abuse and neglect of children and build the District of Columbias capacity of the Ward 4 community to support youth and families.,8,8,32,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,3019308,3304827,HEADERFILL-NULL,0,31,4,HEADERFILL-NULL,0,3019339,3304831,HEADERFILL-NULL,421231,HEADERFILL-NULL,0,1937330,1953838,HEADERFILL-NULL,32500,SELECT-KEY-WRITE-NULL,32500,1227981,812909,3165311,3220478,-145972,84353,1469363,1645672,1103326,1170283,366037,475389
0,Girls  of the Washington DC Metropolitan Area,2018,841648959,"Girls Inc. is a national nonprofit youth organization dedicated to inspiring all girls to be strong, smart and bold. Girls Inc. provides vital educational programs to millions of American girls, particularly those in high-risk underserved areas.",13,13,10,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,377272,275196,2051,3625,26,-1120,-35231,0,344118,277701,HEADERFILL-NULL,0,HEADERFILL-NULL,0,189219,195676,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,29638,58863,60731,248082,256407,96036,21294,172480,201436,3478,11140,169002,190296
0,Global Kids,2018,133629485,"SEE SCHEDULE O.TO ENSURE YOUTH FROM UNDERSERVED COMMUNITIES HAVE THE KNOWLEDGE, SKILLS, EXPERIENCES AND VALUES THEY NEED TO BE SUCCESSFUL IN SCHOOL, PARTICIPATE EFFECTIVELY IN THE DEMOCRATIC PROCESS, AND ACHIEVE LEADERSHIP IN THEIR COMMUNITIES AND ON THE GLOBAL STAGE.",19,19,139,30,0,SELECT-KEY-WRITE-NULL,4415741,4324291,1357621,1232615,244,176,20475,2899,5794081,5559981,31050,23100,0,0,4185371,4096813,0,0,SELECT-KEY-WRITE-NULL,163710,1580949,1544406,5797370,5664319,-3289,-104338,2404696,2469563,495054,664259,1909642,1805304
0,Hillside Work Scholarship Connection,2018,161453581,YOUTH ADVOCACY FOR MIDDLE AND HIGH SCHOOL STUDENTS TO INCREASE GRADUATION RATES,7,6,281,9,0,SELECT-KEY-WRITE-NULL,8025796,7116574,8451114,9998732,0,0,1300,0,16478210,17115306,0,0,0,0,10407233,11000767,0,0,SELECT-KEY-WRITE-NULL,0,6433778,6547610,16841011,17548377,-362801,-433071,11982553,13553489,807100,2706207,11175453,10847282
0,Housing Up,2018,521675958,PROVIDING TRANSITIONAL AND SUPPORTIVE HOUSING WITH SERVICES,14,13,79,33,0,SELECT-KEY-WRITE-NULL,5295017,4884090,364007,300886,-283,1676,106230,78595,5764971,5265247,0,0,0,0,3169585,3336129,0,0,SELECT-KEY-WRITE-NULL,194366,1658640,1874444,4828225,5210573,936746,54674,4670102,4885595,1924614,2085433,2745488,2800162
0,Jubilee Housing,2018,520986261,TO PROVIDE AFFORDABLE HOUSING AND EXPANDED LIFE OPTIONS TO PEOPLE WITH LOW INCOME.,12,10,52,30,0,SELECT-KEY-WRITE-NULL,1764218,2073001,1016522,887376,1313568,518003,738181,716697,4832489,4195077,HEADERFILL-NULL,26850,HEADERFILL-NULL,0,2204689,2239272,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,233323,2269430,2298351,4474119,4564473,358370,-369396,40189075,41644873,23157099,24982293,17031976,16662580
0,Kid Power,2018,262333511,"Kid Power inspires youth leadership by promoting academic advancement, physical and emotional wellness, and positive civic engagement in underserved communities throughout the District of Columbia.",14,14,56,300,0,SELECT-KEY-WRITE-NULL,933287,881857,4847,127154,50,55,6623,2140,944807,1011206,0,0,0,0,590575,645157,0,0,SELECT-KEY-WRITE-NULL,25724,279627,290926,870202,936083,74605,75123,285460,369468,735,9624,284725,359844
0,Musicianship,2018,460557954,"The MusicianShips mission is to change lives by facilitating music lessons, experiences, and opportunities for people who need us most.",9,9,1,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,202114,220686,6642,3137,HEADERFILL-NULL,0,HEADERFILL-NULL,0,208756,223823,HEADERFILL-NULL,0,HEADERFILL-NULL,0,25431,36006,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,24654,146627,191048,172058,227054,36698,-3231,54750,57723,7614,13818,47136,43905
0,National Center for Children and Families,2018,520591586,"See Schedule OTHE ORGANIZATION IS COMMITTED TO SERVING VULNERABLE CHILDREN, YOUTH AND FAMILIES IN THE NATIONAL CAPITAL AREA.",20,20,224,2607,0,SELECT-KEY-WRITE-NULL,5415698,5852705,20709325,17398633,23424,83362,411974,95727,26560421,23430427,0,0,0,0,11915933,12017848,0,0,SELECT-KEY-WRITE-NULL,596420,14622669,11788021,26538602,23805869,21819,-375442,19101596,19287908,9098010,9682363,10003586,9605545
0,Opportunities Industrialization Center  (OIC/DC),2018,522237798,Provide quality job skills training programs and related services for adults and youths. The overarching objective is to assist customers in gaining the skills and access they need for full employment.,7,7,38,0,0,SELECT-KEY-WRITE-NULL,2422296,2523877,HEADERFILL-NULL,0,558,27,HEADERFILL-NULL,0,2422854,2523904,HEADERFILL-NULL,0,HEADERFILL-NULL,0,1425922,1466209,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,0,1087677,1065998,2513599,2532207,-90745,-8303,865106,1097207,66488,306892,798618,790315
0,Project Create,2018,421559894,"Project Create provides accessible arts education to promote positive development in children, youth and families experiencing homelessness and poverty.",8,8,4,25,0,SELECT-KEY-WRITE-NULL,365198,295365,16700,27950,23,23,HEADERFILL-NULL,2165,381921,325503,HEADERFILL-NULL,0,HEADERFILL-NULL,0,295596,231494,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,22866,335879,229200,631475,460694,-249554,-135191,290171,240536,15391,29062,274780,211474
0,Martin Pollak Project : Northstar Tutoring/Mentoring Project,2018,521171384,"MPP provides foster care, independent living, tutoring and mentoring, and other family-centered youth development and support programs to children and youth in Maryland and the District of Columbia with the broader goal of building a caring community for every young person who needs support beyond what can be provided by his or her family. We believe that mobilizing community members as volunteers, foster parents, staff and donors is key to ensuring that young people we serve receive the support they need to succeed.",7,7,44,95,0,SELECT-KEY-WRITE-NULL,3579510,3222434,15083,0,-3781,204,1210,0,3592022,3222638,1085219,958054,0,0,1678482,1359284,0,0,SELECT-KEY-WRITE-NULL,4108,945572,919443,3709273,3236781,-117251,-14143,2001284,1939834,907884,860577,1093400,1079257
0,Reach Education,2018,264622113,REACH INCORPORATED RECRUITS AND TRAINS TEENS TO BECOME TUTORS AND ROLE MODELS FOR YOUNGER STUDENTS.,11,11,7,50,0,SELECT-KEY-WRITE-NULL,897599,834208,33058,45122,1076,1595,-8524,-1079,923209,879846,0,0,0,0,388445,376627,0,27164,SELECT-KEY-WRITE-NULL,98969,332678,432650,721123,836441,202086,43405,753577,790300,27415,20733,726162,769567
0,Sitar Arts Center,2018,522113471,"SITAR ARTS CENTER'S MISSION IS TO OFFER POSSIBILITIES THAT TRANSFORM THE LIVES OF CHILDREN AND TEENS BORN INTO A WORLD OF UNEQUAL ACCESS TO OPPORTUNITY. WE ACHIEVE THE MISSION BY ENGAGING CHILDREN AND TEENS IN THE HIGHEST QUALITY VISUAL, PERFORMING AND DIGITAL ARTS PROGRAMMING. WE TEACH THE ARTS SO THAT OUR STUDENTS LEARN ABOUT THEMSELVES AND GAIN CRITICAL LIFE SKILLS. WE CREATE COMMUNITY FOR STUDENTS AND THEIR FAMILIES AND WE ARE AN UNTIRING VOICE ON THEIR BEHALF.",18,17,24,300,0,SELECT-KEY-WRITE-NULL,2220520,2053902,114361,128743,-212,4306,-38669,-66977,2296000,2119974,HEADERFILL-NULL,0,HEADERFILL-NULL,0,952516,1015649,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,253294,896981,898718,1849497,1914367,446503,205607,8273444,8504185,3849876,3865685,4423568,4638500
0,Split This Rock,2018,264559492,Split this Rock calls poets to a greater role in public life and fosters a national network of socially engaged poets.,8,8,6,70,0,SELECT-KEY-WRITE-NULL,289374,297345,73250,52975,99,42,0,0,362723,350362,0,0,0,0,191709,202100,0,0,SELECT-KEY-WRITE-NULL,23249,244137,156119,435846,358219,-73123,-7857,23612,16335,75,655,23537,15680
0,Step Afrika USA orporated,2018,522118391,TO PROMOTE AND PRESERVE THE TRADITION OF STEPPING AND IT'S CONNECTIONS TO ART FORMS AROUND THE WORLD.,16,15,21,45,0,SELECT-KEY-WRITE-NULL,567810,520339,890163,1315547,13545,40073,59570,59900,1531088,1935859,HEADERFILL-NULL,0,HEADERFILL-NULL,0,731270,833489,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,170587,779675,1017370,1510945,1850859,20143,85000,676085,930250,154090,323255,521995,606995
0,Urban Alliance Foundation,2018,521938443,"TO EMPOWER UNDER-RESOURCED YOUTH TO ASPIRE, AND SUCCEED THROUGH PAID INTERNSHIPS, AND MENTORSHIP.",18,17,1001,22,0,SELECT-KEY-WRITE-NULL,6660376,4398470,742425,3430446,27999,29677,929,2428,7431729,7861021,41387,36806,0,0,3058187,3322548,0,0,SELECT-KEY-WRITE-NULL,600361,3027751,3209296,6127325,6568650,1304404,1292371,5836334,7014059,904886,761853,4931448,6252206
0,The Washington School for Girls,2018,522031849,CLOSE THE EDUCATIONAL GAP AND BROADEN THE EDUCATIONAL OPPORTUNITIES FOR GIRLS FROM ECONOMICALLY DISADVANTAGED COMMUNITIES IN GRADES 3-8.,13,13,40,45,0,SELECT-KEY-WRITE-NULL,3285950,4265810,20775,37130,90032,139557,0,0,3396757,4442497,0,0,0,0,1946886,2190086,0,0,SELECT-KEY-WRITE-NULL,424515,1173650,1357712,3120536,3547798,276221,894699,5181086,6274659,44487,57504,5136599,6217155
0,Washington Tennis & Education Foundation East,2018,454066642,"WASHINGTON TENNIS & EDUCATION FOUNDATION EAST WAS FORMED TO SERVE AS A SUPPORTING FOUNDATION DESCRIBED IN INTERNAL REVENUE CODE SECTION 509(A)(3) SOLELY FOR THE BENEFIT OF THE WASHINGTON TENNIS & EDUCATION FOUNDATION, A DISTRICT OF COLUMBIA NONPROFIT CORPORATION WHICH QUALIFIES UNDER INTERNAL REVENUE CODE SECTION 501(C)(3) AND 509(A)(2).",3,3,0,7,0,SELECT-KEY-WRITE-NULL,0,120316,554792,832188,0,0,0,0,554792,952504,0,0,0,0,0,0,0,0,SELECT-KEY-WRITE-NULL,0,309019,444162,309019,444162,245773,508342,11202105,11697519,10029603,10016669,1172502,1680850
0,Washington Urban Debate League,2018,474987160,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,SELECT-KEY-WRITE-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,SELECT-KEY-WRITE-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,28247,37021
0,Wilderness Leadership and Learning,2018,134256302,"WILL'S MISSION IS TO PROVIDE DIVERSE GROWTH EXPERIENCES AND CHALLENGING LEARNING OPPORTUNITIES TO INSPIRE AND ASSIST YOUTH TO MAKE GOOD DECISIONS, BECOME EFFECTIVE LEADERS, AND ACHIEVE THEIR GOALS. OUR GOAL IS TO LAUNCH WILL YOUTH INTO A FUTURE THAT THEY COULD NOT IMAGINE BEFORE THEY PARTICIPATED IN THE PROGRAM, AND TO COMPLIMENT TRADITIONAL CLASSROOM EDUCATION WITH HIGH-QUALITY, DIVERSE EXPERIENTIAL LEARNING OPPORTUNITIES TO DEVELOP INHERENT STRENGTHS, DECISION-MAKING AND LEADERSHIP AND LIFE SKILLS FOR STUDENTS TO LEARN AND BE SUCCESSFUL.",11,10,2,34,0,SELECT-KEY-WRITE-NULL,244703,280510,0,0,62,157,567,0,245332,280667,0,0,0,0,123533,130069,1995,460,SELECT-KEY-WRITE-NULL,17932,85933,103148,211461,233677,33871,46990,290096,326329,13059,2302,277037,324027
0,Young Playwrights Theater,2018,522102391,Young Playwrights Theater(YPT) teaches students throughout the DC Metro area to express themselves clearly & creatively through the art of playwriting. In-school and after-school programs inspire students to understand the power of language and realize their potential.,11,11,14,114,0,SELECT-KEY-WRITE-NULL,587001,655263,143958,64368,1724,2909,HEADERFILL-NULL,-7039,732683,715501,HEADERFILL-NULL,0,HEADERFILL-NULL,0,535520,551151,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,60894,255814,238627,791334,789778,-58651,-74277,1006608,907183,38668,13520,967940,893663
0,Youth Leadership Foundation,2018,522016259,The organization's mission is to build character and support the pursuit of academic excellence enabling youth in the DC-MD-VA area to enhance the trajectory of their lives.,31,31,58,34,0,SELECT-KEY-WRITE-NULL,770884,810836,40315,62211,HEADERFILL-NULL,0,HEADERFILL-NULL,0,811199,873047,HEADERFILL-NULL,0,HEADERFILL-NULL,0,489446,475519,44450,49650,SELECT-KEY-WRITE-NULL,137083,199255,273187,733151,798356,78048,74691,200699,275666,46300,46576,154399,229090
0,YWCA National Capital Area,2018,520893511,"TO ELIMINATE RACISM, EMPOWER WOMEN and PROMOTE PEACE, JUSTICE, FREEDOM AND DIGNITY FOR ALL",20,20,41,100,0,SELECT-KEY-WRITE-NULL,494318,379878,1125989,1274592,205680,43752,28935,158347,1854922,1856569,0,0,0,0,1342300,1201538,0,0,SELECT-KEY-WRITE-NULL,688044,852932,1060336,2195232,2261874,-340310,-405305,4540197,4119521,1162573,1211609,3377624,2907912
