,AAA Organization Name,AAA Year Found,AAA EIN,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,cytotalproffndrsngexpnsamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
0,After-School All-Stars,2015,954441208,"ASAS PROVIDES FREE, HIGH-QUALITY AFTER-SCHOOL PROGRAMS TO LOW-INCOME, INNER CITY YOUTH ACROSS THE COUNTRY, NEARLY 90,000 STUDENTS ON OVER 350 SCHOOL SITES OUR GOAL FOR OUR ALL-STARS ARE THE SAME WE HAVE FOR OUR OWN CHILDREN TO BE HEALTHY ACTIVE, TO GRADUATE HIGH SCHOOL AND GO ON TO COLLEGE, TO FIND A JOB THAT THEY WILL LOVEAND TO GIVE BACK TO THEIR COMMUNITIES. WE ACHIEVE THIS BY FUELING OUR STUDENTS' PASSION BY TYING THEIR INTERESTS TO ACADEMIC SUPPORT, ENRICHMENT ACTIVITIES AND HEALTH AND FITNESS PROGRAMS THAT INSTILL THE CONFIDENCE AND RESILIENCE THEY'LL NEED TO SUCCESS IN SCHOOL AND IN LIFE.",22,22,35,3,0,3136702,3455435,450662,229,251,,676154,3136931,4582502,1118766,1219054,0,1314625,1651001,0,367455,898498,1196340,3331889,4066395,-194958,516107,2590953,3279043,241777,413760,2349176,2865283
0,Arena Stage at the Mead Center for American Theater,2017,530246894,"ARENA STAGE IS A CENTER FOR THE PRODUCTION,PRESENTATION, DEVELOPMENT&STUDY OF THE AMERICAN THEATER.",40,38,479,2000,41487,4769508,12817984,13909537,6744467,-1195042,232058,200674,25752712,25733153,0,0,0,9436138,10144048,0,1616352,18712161,18511153,28216996,28655201,-2464284,-2922048,196647605,192590235,135908884,146604296,60738721,45985939
0,Arena Stage at the Mead Center for American Theater,2016,530246894,"ARENA STAGE IS A CENTER FOR THE PRODUCTION,PRESENTATION, DEVELOPMENT&STUDY OF THE AMERICAN THEATER.",45,43,441,2000,49181,3693559,4769508,14006679,10360184,6744467,211992,232058,28144011,25752712,0,0,0,8895088,9436138,68697,1470612,19155419,18712161,28113263,28216996,30748,-2464284,215291215,196647605,142516026,135908884,72775189,60738721
0,Arena Stage at the Mead Center for American Theater,2015,530246894,"ARENA STAGE IS A CENTER FOR THE PRODUCTION,PRESENTATION, DEVELOPMENT&STUDY OF THE AMERICAN THEATER.",39,37,408,2000,30341,4911986,3693559,13878276,7501704,10360184,155454,211992,27623662,28144011,0,0,0,9643459,8895088,62756,1456033,21533054,19155419,31189870,28113263,-3566208,30748,221432368,215291215,145703202,142516026,75729166,72775189
0,Asian American LEAD,2018,522102012,To promote the well-being of Asian Pacific American youth and families. See Part III,14,13,40,45,0,946716,927914,0,88790,76692,8399,0,1043905,1004606,0,0,0,1110525,1011978,0,123479,281563,234986,1392088,1246964,-348183,-242358,1163663,935748,84421,130961,1079242,804787
0,Asian American LEAD,2017,522102012,To promote the well-being of Asian Pacific American youth and families. See Part III,11,10,44,115,0,1034538,946716,0,18525,88790,11303,8399,1064366,1043905,889,0,0,850122,1110525,0,275550,241580,281563,1092591,1392088,-28225,-348183,1488221,1163663,62659,84421,1425562,1079242
0,Asian American LEAD,2016,522102012,To promote the well-being of Asian Pacific American youth and families. See Part III,12,11,49,141,0,1066757,1034538,0,13824,18525,3558,11303,1084139,1064366,754,889,0,725008,850122,0,177729,194338,241580,920100,1092591,164039,-28225,1532130,1488221,59852,62659,1472278,1425562
0,Asian American LEAD,2015,522102012,To promote the well-being of Asian Pacific American youth and families. See Part III,10,10,49,139,0,880211,1066757,0,10594,13824,2291,3558,893096,1084139,150,754,0,601964,725008,0,107272,229762,194338,831876,920100,61220,164039,1254939,1532130,20304,59852,1234635,1472278
0,Atlas Performing Arts Center,2018,522358563,"SEE PART III, LINE 1.",21,20,48,65,6218,1180982,1311424,958114,1663,-5152,771222,735393,2788356,2999779,0,0,0,998371,1263984,0,219675,2103461,2071237,3101832,3335221,-313476,-335442,17176888,16696817,7191437,7021168,9985451,9675649
0,Atlas Performing Arts Center,2017,522358563,"ATLAS IS A COMMUNITY-BASED VENUE FOR THE PERFORMING ARTS IN NORTHEAST WASHINGTON, DC.",21,21,38,50,0,1773915,1180982,834489,7738,1663,514952,771222,2842814,2788356,0,0,0,887824,998371,0,291193,2100200,2103461,2988024,3101832,-145210,-313476,17564833,17176888,7272961,7191437,10291872,9985451
0,Atlas Performing Arts Center,2016,522358563,"ATLAS IS A COMMUNITY-BASED VENUE FOR THE PERFORMING ARTS IN NORTHEAST WASHINGTON, DC.",21,21,33,75,0,436237,1773915,546209,5336,7738,320805,514952,1101002,2842814,0,0,0,569523,887824,0,207457,1659705,2100200,2229228,2988024,-1128226,-145210,17848865,17564833,7363923,7272961,10484942,10291872
0,Atlas Performing Arts Center,2014,522358563,"ATLAS IS A COMMUNITY-BASED VENUE FOR THE PERFORMING ARTS IN NORTHEAST WASHINGTON, DC.",18,18,22,150,0,572318,3254212,650867,-221916,278155,55214,9273,599156,4192507,0,0,0,569306,552629,0,359522,923552,1805177,1492858,2357806,-893702,1834701,11609099,19728609,293693,6856149,11315406,12872460
0,Beacon House Community Ministry,2018,521773366,TO PREPARE AT-RISK YOUTH FOR PRODUCTIVE INVOLVEMENT IN THEIR COMMUNITY AND SOCIETY.,10,9,21,150,0,1085424,1030056,43554,9765,53231,5874,72,1120467,1126913,0,0,0,553500,626754,0,109035,696498,584743,1249998,1211497,-129531,-84584,1271332,1145059,99890,106001,1171442,1039058
0,Beacon House Community Ministry,2017,521773366,To prepare at-risk youth for productive involvement in their community and society.,11,10,14,160,0,963273,1292014,19379,17397,83281,1347,3579,1010467,1398253,,0,0,510707,532632,0,4236,530063,554092,1040770,1086724,-30303,311529,1400885,1504655,99912,-22599,1300973,1527254
0,Beacon House Community Ministry,2015,521773366,TO PREPARE AT-RISK YOUTH FOR PRODUCTIVE INVOLVEMENT IN THEIR COMMUNITY AND SOCIETY.,12,11,16,162,0,992822,963273,28450,18594,17397,4369,1347,1022991,1010467,0,0,0,544841,510707,0,66956,450029,530063,994870,1040770,28121,-30303,1359023,1400885,88949,99912,1270074,1300973
0,Beacon House Community Ministry,2014,521773366,TO PREPARE AT-RISK YOUTH FOR PRODUCTIVE INVOLVEMENT IN THEIR COMMUNITY AND SOCIETY.,11,10,20,145,0,860411,992822,7206,51980,18594,343,4369,927104,1022991,0,0,0,577790,544841,0,47882,382592,450029,960382,994870,-33278,28121,1179126,1359023,55402,88949,1123724,1270074
0,Best Friends Foundation,2018,521844471,"THE BEST FRIENDS FOUNDATION PROVIDES AN EDUCATIONAL CURRICULUM AND/OR GROUP ASSEMBLIES IN THE METROPOLITAN WASHINGOTN DC AREA FOR ADOLESCENT GIRLS AND BOYS, AGED 10-18, WHICH PROMOTES SELF-RESPECT THROUGH THE PRACTICE SELF -CONTROL BY PROVIDING SKILLS AND GUIDANCE WHICH HELPS THEM AVOID RISK BEHAVIOR. THE FIVE BASIC GOALS OF THE PROGRAM ARE:1. TO DEVELOP CRITICAL THINKING SKILLS IN ADOLESCENT GIRLS AND BOYS TO ENABLE THEM TO PROGRESS FROM THE CONCRETE TO THE FORMAL OPERATIONAL STATE OF REASONING.2. TO DEVELOP A SENSE OF SELF-RESPECT AND SELF-WORTH THROUGH ACHIEVEMENT AND COMMUNITY SERVICE.3. TO ENRICH THE LIVES OF ADOLESCENT GIRLS AND BOYS BY PROMOTING THIER ASPIRATIONS AND PROVIDING DECISION MAKING SKILLS.4. TO INCORPORATE THE SCHOOL AN FAMILIES INTO THE ADOLESCENT GIRLS AND BOY'S SUPPORT SYSTEM.5. TO PROVIDE POSITIVE PEER GROUPS FOR 10-18 YEAR OLD GIRLS IN WHICH THEY ARE VALUED MEMBERS AND IN WHICH THEY HAVE A SENSE OF CONNECTION TO THIER SCHOOL AND TO EACH OTHER.",7,6,1,0,0,291353,529764,0,11,12,34328,0,325692,529776,0,2000,0,0,155927,0,0,294392,408511,294392,566438,31300,-36662,57918,28291,678,59251,57240,-30960
0,Best Friends Foundation,2016,521844471,"The Best Friends Foundation provides an educational curriculum and/or group assemblies in the Metropolitan Washington DC area for adolescent girls and boys, Aged 10-18, which promotes self-respect through the practice self-control by providing skills and guidance which help them avoid risk behavior.The five basic goals of the Best Friends / Best Men program are:1. To develop critical thinking skills in adolescent girls and boys to enable them to progress from the concrete to the formal operational stage of reasoning.2. To develop a sense of self-respect and self-worth through achievement and community service.3. To enrich the lives of adolescent girls and boys by promoting their aspirations and providing decision-making skills.4. To incorporate the school and families into the adolescent girls' and boys' support system.5. To provide positive peer groups for 10-18 year old girls in which they are valued members and in which they have a sense of connection to their school and to each oth",7,6,1,,0,141450,133663,0,1,2,,0,141451,133665,2200,5288,0,25534,49719,0,12088,33730,96089,61464,151096,79987,-17431,73459,30976,30088,5036,43371,25940
0,Best Friends Foundation,2015,521844471,"The Best Friends Foundation provides an educational curriculum and/or group assemblies in the Metropolitan Washington DC area for adolescent girls and boys, Aged 10-18, which promotes self-respect through the practice self-control by providing skills and guidance which help them avoid risk behavior.The five basic goals of the Best Friends / Best Men program are:1. To develop critical thinking skills in adolescent girls and boys to enable them to progress from the concrete to the formal operational stage of reasoning.2. To develop a sense of self-respect and self-worth through achievement and community service.3. To enrich the lives of adolescent girls and boys by promoting their aspirations and providing decision-making skills.4. To incorporate the school and families into the adolescent girls' and boys' support system.5. To provide positive peer groups for 10-18 year old girls in which they are valued members and in which they have a sense of connection to their school and to each oth",8,7,4,,0,170391,141450,0,2,1,,0,170393,141451,,2200,0,96909,25534,0,6660,94156,33730,191065,61464,-20672,79987,71778,73459,33394,30088,38384,43371
0,Boys & Girls Clubs of Greater Washington,2018,530236759,"BOYS & GIRLS CLUBS OF GREATER WASHINGTON, INC. (BGCGW) IS A DISTRICT OF COLUMBIA NON-PROFIT ORGANIZATION, INCORPORATED IN 1886, WHICH IS COMMITTED TO HELPING YOUTH OF ALL BACKGROUNDS, ESPECIALLY THOSE WHO NEED US MOST, BUILD CONFIDENCE, DEVELOP CHARACTER AND ACQUIRE THE SKILLS NEEDED TO BECOME PRODUCTIVE, CIVIC-MINDED AND RESPONSIBLE ADULTS.",40,40,307,764,0,7327132,5193793,2145841,573395,155,288891,1630090,10318851,8969879,37309,46250,0,6609730,6194994,0,1166241,4451424,5017002,11128096,11258246,-809245,-2288367,17634943,15375491,4435309,4477943,13199634,10897548
0,Boys & Girls Clubs of Greater Washington,2017,530236759,"BOYS & GIRLS CLUBS OF GREATER WASHINGTON, INC. (BGCGW) IS A DISTRICT OF COLUMBIA NON-PROFIT ORGANIZATION, INCORPORATED IN 1886, WHICH IS COMMITTED TO HELPING YOUTH OF ALL BACKGROUNDS, ESPECIALLY THOSE WHO NEED US MOST, BUILD CONFIDENCE, DEVELOP CHARACTER AND ACQUIRE THE SKILLS NEEDED TO BECOME PRODUCTIVE, CIVIC-MINDED AND RESPONSIBLE ADULTS.",36,36,284,764,0,7735782,7327132,2129433,4567,573395,213493,288891,9817388,10318851,26109,37309,0,6065416,6609730,29633,1075273,4515450,4451424,10632963,11128096,-815575,-809245,18091608,17634943,4082997,4435309,14008611,13199634
0,Boys & Girls Clubs of Greater Washington,2016,530236759,"BOYS & GIRLS CLUBS OF GREATER WASHINGTON, INC. (BGCGW) IS A DISTRICT OF COLUMBIA NON-PROFIT ORGANIZATION, INCORPORATED IN 1886, WHICH IS COMMITTED TO HELPING YOUTH OF ALL BACKGROUNDS, ESPECIALLY THOSE WHO NEED US MOST, BUILD CONFIDENCE, DEVELOP CHARACTER AND ACQUIRE THE SKILLS NEEDED TO BECOME PRODUCTIVE, CIVIC-MINDED AND RESPONSIBLE ADULTS.",39,39,234,764,0,6650704,7735782,1863546,-93309,4567,255199,213493,8452243,9817388,44278,26109,0,6568697,6065416,25988,1165967,4405810,4515450,11018785,10632963,-2566542,-815575,18517687,18091608,3691303,4082997,14826384,14008611
0,Boys & Girls Clubs of Greater Washington,2014,530236759,"BOYS & GIRLS CLUBS OF GREATER WASHINGTON, INC. (BGCGW) IS A DISTRICT OF COLUMBIA NON-PROFIT ORGANIZATION, INCORPORATED IN 1886, WHICH IS COMMITTED TO HELPING YOUTH OF ALL BACKGROUNDS, ESPECIALLY THOSE WHO NEED US MOST, BUILD CONFIDENCE, DEVELOP CHARACTER AND ACQUIRE THE SKILLS NEEDED TO BECOME PRODUCTIVE, CIVIC-MINDED AND RESPONSIBLE ADULTS.",37,37,275,372,0,6000848,6650704,1639649,2114769,-93309,406666,255199,10365297,8452243,47878,44278,0,7754069,6568697,0,1119959,5226832,4405810,13028779,11018785,-2663482,-2566542,22696498,18517687,5304482,3691303,17392016,14826384
0,BUILD Metro DC,2018,943386695,"BUILD's mission is to use entrepreneurship to excite and propel low-income, disengaged youth through high school to college success. BUILD is committed to helping disadvantaged youth in America's most underserved communities gain the knowledge and ability to persevere in college and beyond. While academic proficiency is necessary, it is not sufficient to prepare students for college and their careers. The missing piece is for our youth to acquire 21st century skills - critical thinking and problem-solving, self-directed learning and collaboration - All of which are best learned through a hands-on, real-life experience like starting a business.",15,14,218,1395,0,12422056,11007114,193000,-3702,9941,-556099,-649353,11934505,10560702,76187,120900,0,7259197,10359101,178657,1941223,2747842,2855643,10083226,13514301,1851279,-2953599,5546301,2685241,480762,573301,5065539,2111940
0,BUILD Metro DC,2017,943386695,"BUILD's mission is to use entrepreneurship to excite and propel low-income, disengaged youth through high school to college success. BUILD is committed to helping disadvantaged youth in America's most underserved communities gain the knowledge and ability to persevere in college and beyond. While academic proficiency is necessary, it is not sufficient to prepare students for college and their careers. The missing piece is for our youth to acquire 21st century skills - critical thinking and problem-solving, self-directed learning and collaboration - All of which are best learned through a hands-on, real-life experience like starting a business.",11,10,187,1317,0,9302362,12422056,72250,468,-3702,-442775,-556099,8900102,11934505,101224,76187,0,6265678,7259197,0,1346226,2330524,2747842,8697426,10083226,202676,1851279,3553726,5546301,339466,480762,3214260,5065539
0,BUILD Metro DC,2016,943386695,"BUILD'S MISSION IS TO USE ENTREPRENEURSHIP TO EXCITE AND PROPEL LOW-INCOME, DISENGAGED YOUTH THROUGH HIGH SCHOOL TO COLLEGE SUCCESS. BUILD IS COMMITTED TO HELPING DISADVANTAGED YOUTH IN AMERICA'S MOST UNDERSERVED COMMUNITIES GAIN THE KNOWLEDGE AND ABILITY TO PERSEVERE IN COLLEGE AND BEYOND. WHILE ACADEMIC PROFICIENCY IS NECESSARY, IT IS NOT SUFFICIENT TO PREPARE STUDENTS FOR COLLEGE AND THEIR CAREERS. THE MISSING PIECE IS FOR OUR YOUTH TO ACQUIRE 21ST CENTURY SKILLS - CRITICAL THINKING AND PROBLEM-SOLVING, SELF-DIRECTED LEARNING AND COLLABORATION - ALL OF WHICH ARE BEST LEARNED THROUGH A HANDS-ON, REAL-LIFE EXPERIENCE LIKE STARTING A BUSINESS.",12,11,168,960,0,7801054,9302362,40047,1277,468,-267834,-442775,7534497,8900102,101812,101224,0,4861821,6265678,0,1567125,2001140,2330524,6964773,8697426,569724,202676,3446902,3553726,435318,339466,3011584,3214260
0,BUILD Metro DC,2015,943386695,"BUILD'S MISSION IS TO USE ENTREPRENEURSHIP TO EXCITE AND PROPEL LOW-INCOME, DISENGAGED YOUTH THROUGH HIGH SCHOOL TO COLLEGE SUCCESS. BUILD IS COMMITTED TO HELPING DISADVANTAGED YOUTH IN AMERICA'S MOST UNDERSERVED COMMUNITIES GAIN THE KNOWLEDGE AND ABILITY TO PERSEVERE IN COLLEGE AND BEYOND. WHILE ACADEMIC PROFICIENCY IS NECESSARY, IT IS NOT SUFFICIENT TO PREPARE STUDENTS FOR COLLEGE AND THEIR CAREERS. THE MISSING PIECE IS FOR OUR YOUTH TO ACQUIRE 21ST CENTURY SKILLS- CRITICAL THINKING AND PROBLEM-SOLVING, SELF-DIRECTED LEARNING AND COLLABORATION- ALL OF WHICH ARE BEST LEARNED THROUGH A HANDS-ON, REAL-LIFE EXPERIENCE LIKE STARTING A BUSINESS.",10,9,132,961,0,6483898,7801054,0,6084,1277,-191954,-267834,6298028,7534497,83466,101812,0,3800232,4861821,0,1255179,2084357,2001140,5968055,6964773,329973,569724,3082652,3446902,640792,435318,2441860,3011584
0,Calvin Coolidge Alumni Association,2017,208865134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70114,77723
0,Capitol Movement,2016,352281200,"TO BUILD BETTER LIVES THROUGH DANCE. WE STRIVE TO PROVIDE PROGRAMS AND OPPORTUNITIES FOR ALL, DESPITE SOCIOECONOMIC BARRIERS, BY OFFERING TRAVELING CLASSROOMS FOR SCHOOLS AND COMMUNITY PARTNERS IN NEED OF ARTS EDUCATION PROGRAMMING. WE ASSIST YOUNG PEOPLE FROM ECONOMICALLY DISADVANTAGED BACKGROUNDS VIA DANCE SCHOLARSHIP PROGRAMS AS WELL AS THROUGH TRAINING AT OUR SUMMER CAMP INTENSIVES, ANNUAL CONVENTIONS AND OUTREACH CLASSES. WE STRIVE TO MAKE IT POSSIBLE FOR ALL RESIDENTS OF THE DC METROPOLITAN AREA TO PARTICIPATE IN AND PATRONIZE THE ARTS. OUR DANCE PROGRAMS BUILD CONFIDENCE, ENCOURAGE TEAMWORK, TEACH COMMITMENT AND DISCIPLINE AND OPEN DOORS TO DREAMS, BRINGING DANCERS FROM ALL WALKS OF LIFE TOGETHER.",6,3,0,20,0,51583,30539,149686,,0,9255,0,144446,180225,,0,0,49340,0,0,1406,125437,138900,174777,138900,-30331,41325,8318,49643,,0,8318,49643
0,Capitol Movement,2014,352281200,"At Capitol Movement, Inc. (CMI) it is our mission to build better lives through dance. We strive to provide programs and opportunities for all, despite socioeconomic barriers, by offering traveling classrooms for schools and community partners in need of arts education programming. We assist young people from economically disadvantaged backgrounds via dance scholarship programs as well as training at our summer camp intensives, annual conventions, and outreach classes. Capitol Movement strives to make it possible for all residents of the DC Metropolitan area to participate in and patronize the arts. Our dance programs build confidence, stress teamwork, teach commitment and discipline, and open doors to dreams, bringing dancers from all walks of life together.",7,5,2,20,0,107929,51583,83608,,0,4761,9255,275885,144446,,0,0,68799,49340,0,6182,181029,125437,258000,174777,17885,-30331,38649,8318,,0,38649,8318
0,CentroNia,2017,251689720,"EDUCATING CHILDREN AND STRENGTHENING FAMILIES, IN A BILINGUAL, MULTICULTURAL ENVIRONMENT.",15,15,269,300,0,9219863,10321187,1045250,,15834543,1132342,1515246,12429738,28716226,,0,0,9136602,9643247,0,273903,4574269,5033190,13710871,14676437,-1281133,14039789,6958972,18869449,6350302,4872627,608670,13996822
0,CentroNia,2016,251689720,"EDUCATING CHILDREN AND STRENGTHENING FAMILIES, IN A BILINGUAL, MULTICULTURAL ENVIRONMENT.",15,14,303,300,35099,3839872,9219863,2077533,,0,789349,1132342,5561032,12429738,,0,0,3969827,9136602,0,203941,2105381,4574269,6075208,13710871,-514176,-1281133,7654700,6958972,6272675,6350302,1382025,608670
0,CitiWide Computer Training Center,2018,521821950,"Provide training to low-income and disadvantaged District of Columbia residents, leading to professional licensure and certifications",9,9,2,,0,288491,237821,0,,0,,0,288491,237821,,0,0,85619,25091,0,0,251825,191490,337444,216581,-48953,21240,176457,178594,113148,94045,63309,84549
0,CitiWide Computer Training Center,2017,521821950,"Provide training to low-income and disadvantaged District of Columbia residents, leading to professional licensure and certifications",9,9,7,2,0,434627,288491,0,,0,,0,434627,288491,,0,0,168356,85619,0,500,250253,251824,418609,337443,16018,-48952,185054,176457,72793,113148,112261,63309
0,CitiWide Computer Training Center,2015,521821950,"Provide training to low-income and disadvantaged District of Columbia residents, leading to professional licensure and certifications",9,9,7,,0,,433969,0,,0,,0,,433969,,0,0,,165012,0,0,,283634,,448646,,-14677,194772,173000,49773,42678,144999,130322
0,CitiWide Computer Training Center,2014,521821950,"Provide training to low-income and disadvantaged District of Columbia residents, leading to professional licensure and certifications",9,9,2,,0,245585,252653,0,,0,,5874,245585,258527,,0,0,,0,0,0,253583,298432,253583,298432,-7998,-39905,210392,194772,25488,49773,184904,144999
0,City Kids Wilderness Project,2017,521976304,"PROGRAM BUILDS RESILIENCY, BROADENS HORIZONS, & ENSURES SKILLS FOR SUCCESS WITH DC YOUTH.",16,16,74,15,0,756074,823693,165554,16575,20250,77063,68286,901266,1077783,0,0,0,557323,622879,0,184379,554817,579071,1112140,1201950,-210874,-124167,3729139,3790039,2560947,2718312,1168192,1071727
0,City Kids Wilderness Project,2016,521976304,"PROGRAM BUILDS RESILIENCY, BROADENS HORIZONS, & ENSURES SKILLS FOR SUCCESS WITH DC YOUTH.",15,15,65,35,0,844816,756074,51554,3647,16575,62722,77063,1014811,901266,9750,0,0,529021,557323,0,162679,518278,554817,1057049,1112140,-42238,-210874,3566795,3729139,2172185,2560947,1394610,1168192
0,City Kids Wilderness Project,2015,521976304,"PROGRAM BUILDS RESILIENCY, BROADENS HORIZONS, & ENSURES SKILLS FOR SUCCESS WITH DC YOUTH.",12,12,57,34,0,693885,844816,103626,530,3647,62599,62722,883619,1014811,0,9750,0,497047,529021,0,117049,544189,518278,1041236,1057049,-157617,-42238,3213409,3566795,1776561,2172185,1436848,1394610
